Titulo,Serviço,Grupo,Ação,Avaliação,Publicação,Localidade,Matriz de Achados?,a. Questões de Auditoria,b. Subquestões de Auditoria,c. Descrição sumária,d. Critério (O que deveria ser),e. Condição ou situação encontrada (O que é) [achados],f. Evidências,g. Informação extraída das evidências,h. Causas,i. Efeitos,j. Boas Práticas,k. Recomendações,l. Benefícios esperados,m. Manifestação,n. Conclusões
Relatório de Avaliação dos Resultados da Gestão nº 201604639 - CAPES,Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Não,1/4/2018,Brasília/DF,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1
Relatório de Auditoria Anual de Contas nº 201700838 - UFAM - exercício de 2016,Auditoria Interna Governamental - Avaliação,Avaliação da Prestação Anual de Contas,Auditoria interna governamental,Não,1/4/2018,Manaus/AM,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1
Relatório de Auditoria Anual de Contas nº 201701480 - Fundo de Financiamento Estudantil - FIES - Exercício de 2016,Auditoria Interna Governamental - Avaliação,Avaliação da Prestação Anual de Contas,Auditoria interna governamental,Não,1/4/2018,Brasília/DF,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1
Relatório de Auditoria Anual de Contas n.º 201701195 - INB - exercício de 2016,Auditoria Interna Governamental - Avaliação,Avaliação da Prestação Anual de Contas,Auditoria interna governamental,Não,1/4/2018,Rio de Janeiro/RJ,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1
Relatório de Avaliação dos Resultados da Gestão nº 201701918 - Secretaria Nacional de Segurança Pública (Senasp),Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Não,1/5/2018,Brasília/DF,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1
Relatório de Avaliação dos Resultados da Gestão nº 201603322 - Universidade Federal de Campina Grande,Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Não,1/8/2018,Campina Grande/PB,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1
Relatório de Avaliação dos Resultados da Gestão nº 201604713 - Universidade Federal de Viçosa,Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Não,1/8/2018,Viçosa/MG,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
Relatório de Avaliação dos Resultados da Gestão nº 201701711 - Funai,Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Não,1/8/2018,Brasília/DF,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
Relatório de Auditoria nº 201604635 - Universidade Federal do Paraná,Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Não,1/9/2018,Curitiba/PR,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1
Relatório de Auditoria Anual de Contas nº 201700847- Universidade Federal da Integração Latino Americana (UNILA) - exercício de 2016,Auditoria Interna Governamental - Avaliação,Avaliação da Prestação Anual de Contas,Auditoria interna governamental,Não,1/9/2018,Foz do Iguaçu/PR,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1
Relatório de Auditoria nº 201603173 - Universidade Federal de Minas Gerais,Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Não,1/9/2018,Belo Horizonte/MG,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1
Relatório de Avaliação dos Resultados da Gestão Nº 201505626 - Universidade Federal de São João del Rei (UFSJ),Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Não,1/9/2018,São João del Rei/MG,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1
Relatório de Avaliação dos Resultados da Gestão nº 201701919 - Departamento Penitenciário Nacional,Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Não,1/9/2018,Brasília/DF,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1
Relatório de Auditoria Anual de Contas nº 201700837 - Universidade Federal da Paraíba - Exercício 2016,Auditoria Interna Governamental - Avaliação,Avaliação da Prestação Anual de Contas,Auditoria interna governamental,Não,1/10/2018,João Pessoa/PB,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1
Relatório de Auditoria nº 201504939 - SFA/AP,Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Não,1/15/2018,Macapá/AP,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1
Relatório de Avaliação dos Resultados da Gestão nº 201600133 - INPI,Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Não,1/15/2018,Rio de Janeiro/RJ,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1
Relatório de Avaliação dos Resultados da Gestão n° 201701065 - SFA/MT,Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Não,1/15/2018,Cuiabá/MT,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1
Relatório de Auditoria Anual de Contas nº 201701394 - Conselho Regional de Engenharia e Agronomia de Goiás (CREA-GO) - exercício de 2016,Auditoria Interna Governamental - Avaliação,Avaliação da Prestação Anual de Contas,Auditoria interna governamental,Não,1/15/2018,Goiânia/GO,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1
Relatório de Auditoria Anual de Contas nº 201601783 - CREA/BA - exercício de 2015,Auditoria Interna Governamental - Avaliação,Avaliação da Prestação Anual de Contas,Auditoria interna governamental,Não,1/15/2018,Salvador/BA,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1
"Relatório de Auditoria nº 201700276 - Superintendência Federal de Agricultura, Pesca e Abastecimento no Estado de São Paulo",Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Não,1/15/2018,São Paulo/SP,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Relatório de Auditoria Anual de Contas nº 201700090 - Secretaria de Assuntos Estratégicos - SAE/MP - Exercício de 2016,Auditoria Interna Governamental - Avaliação,Avaliação da Prestação Anual de Contas,Auditoria interna governamental,Não,1/15/2018,Brasília/DF,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Relatório de Avaliação dos Resultados da Gestão nº 201603164 - FACEAL,Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Não,1/15/2018,Maceió/AL,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1
Relatório de Avaliação dos Resultados da Gestão nº 201700192 - SUREG/CONAB/SC,Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Não,1/15/2018,Florianópolis/SC,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1
Relatório de Auditoria nº 201700233 - Agência Goiana de Defesa Agropecuária (Agrodefesa) - Sistema Unificado de Atenção à Sanidade Agropecuária (SUASA),Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Não,1/16/2018,Goiânia/GO,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
Relatório de Avaliação dos Resultados da Gestão nº 201700753 - Superintendência Federal de Agricultura no Estado do Ceará - SFA/CE,Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Não,1/16/2018,Fortaleza/CE,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1
"Relatório de Avaliação dos Resultados da Gestão nº 201603207 - Superintendência Federal da Agricultura, Pecuária e Abastecimento do Estado de Santa Catarina - SFA/SC",Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Não,1/16/2018,Florianópolis/SC,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1
Relatório de Auditoria Anual de Contas nº 201700825 - CGEE/MCTIC- exercício de 2016,Auditoria Interna Governamental - Avaliação,Avaliação da Prestação Anual de Contas,Auditoria interna governamental,Não,1/16/2018,Brasília/DF,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1
Relatório de Auditoria Anual de Contas nº 201700977 do Núcleo Estadual do Ministério da Saúde na Bahia - NEMS/BA - Exercício: 2016,Auditoria Interna Governamental - Avaliação,Avaliação da Prestação Anual de Contas,Auditoria interna governamental,Não,1/16/2018,Salvador/BA,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1
Relatório de Avaliação dos Resultados da Gestão nº 201604614 - SFA/RS,Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Não,1/16/2018,Porto Alegre/RS,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
RDE nº 201604576 - Construção de Escola,Auditoria Interna Governamental - Apuração,Demandas Externas e Representações,Auditoria interna governamental,Não,1/16/2018,Arara/PB,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Relatório nº 201305364 - VALEC - AEPG - Ferrovias,Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Sim,1/16/2018,Caetité/BA,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Relatório nº 201305363 - VALEC - AEPG - Ferrovias,Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Sim,1/16/2018,Caetité/BA,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Relatório nº 201305362 - VALEC - AEPG - Ferrovias,Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Sim,1/16/2018,Caetité/BA,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Relatório nº 201305361 - VALEC - AEPG - Ferrovias,Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Sim,1/16/2018,Caetité/BA,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
Relatório nº 201305369 - VALEC - AEPG - Ferrovias,Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Sim,1/16/2018,Jandaia/GO,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Relatório nº 201305368 - VALEC - AEPG - Ferrovias,Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Sim,1/16/2018,Jandaia/GO,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
Relatório nº 201305367 - VALEC - AEPG - Ferrovias,Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Sim,1/16/2018,Jandaia/GO,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Relatório nº 201305366 - VALEC - AEPG - Ferrovias,Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Sim,1/16/2018,Jandaia/GO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Relatório nº 201503156 - VALEC - AEPG - Ferrovias,Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Sim,1/16/2018,Santa Helena de Goiás/GO,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
Relatório nº 201503121 - VALEC - AEPG - Ferrovias,Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Sim,1/16/2018,Santa Helena de Goiás/GO,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1
"RDE nº 201505069 - Fundo Nacional de Saúde, Fundo Municipal de Saúde",Auditoria Interna Governamental - Apuração,Demandas Externas e Representações,Auditoria interna governamental,Não,1/18/2018,São José/SC,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
Relatório de Auditoria Anual de Contas nº 201601326 - IBGE - exercício de 2015,Auditoria Interna Governamental - Avaliação,Avaliação da Prestação Anual de Contas,Auditoria interna governamental,Não,1/18/2018,Rio de Janeiro/RJ,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1
RDE nº 201601437 - Hospital Clementino Fraga Filho - HUCFF.,Auditoria Interna Governamental - Apuração,Demandas Externas e Representações,Auditoria interna governamental,Não,1/18/2018,Rio de Janeiro/RJ,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1
Relatório de Auditoria Anual de Contas nº 201701638 do Conselho Regional de Odontologia da Bahia - CRO-BA - Exercício: 2016.,Auditoria Interna Governamental - Avaliação,Avaliação da Prestação Anual de Contas,Auditoria interna governamental,Não,1/22/2018,Salvador/BA,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1
Relatório de Avaliação dos Resultados da Gestão nº 201504399 - Universidade Federal da Paraíba.,Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Não,1/22/2018,João Pessoa/PB,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
Relatório de Auditoria nº 201700017 - SEPED/MCTIC - Projeto BRA/10/G32,Auditoria Interna Governamental - Avaliação,Avaliação dos Contratos de Recursos Externos,Auditoria interna governamental,Não,1/23/2018,Brasília/DF,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Relatório de Auditoria Anual de Contas nº 201701462 - SEMPE - exercício de 2017,Auditoria Interna Governamental - Avaliação,Avaliação da Prestação Anual de Contas,Auditoria interna governamental,Não,1/24/2018,Brasília/DF,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
Relatório de Auditoria nº 201700996 - Secretaria Executiva/Ministério do Esporte,Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Não,1/24/2018,Brasília/DF,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1
Relatório de Auditoria nº 201700114 - Ministério do Trabalho,Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Não,1/25/2018,Brasília/DF,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1
"Relatório nº 201408473 - Gabinete/Prefeitura Mun. de Jacobina/BA - Implantação de Espaços Integrados de Esporte, Cultura, Lazer e Serviços Públicos - Praças dos Esportes e da Cultura",Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Sim,1/26/2018,Jacobina/BA,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
"Relatório nº 201408465 - Prefeitura Municipal de Imperatriz/MA - Implantação de Espaços Integrados de Esporte, Cultura, Lazere Serviços Públicos - Praças dos Esportes e da Cultura no município",Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Sim,1/26/2018,Imperatriz/MA,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
"Relatório nº 201408436 - Prefeitura Mun. de Campo Belo-MG/Gabinete do Prefeito - Implantação de Espaços Integrados de Esporte, Cultura, Lazer e Serviços Públicos - Praças dos Esportes e da Cultura",Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Sim,1/26/2018,Campo Belo/MG,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
"Relatório nº 201408433 - Secretaria/Prefeitura Mun. de Campina Grande do Sul/PR - Implantação de Espaços Integrados de Esporte, Cultura, Lazer e Serviços Públicos - Praças dos Esportes e da Cultura.",Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Sim,1/26/2018,Campina Grande do Sul/PR,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
"Relatório nº 201408501 - Gabinete/Prefeitura Mun. Paulo Afonso/BA - Implantação de Espaços Integrados de Esporte, Cultura, Lazer e Serviços Públicos - Praças dos Esportes e da Cultura",Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Sim,1/26/2018,Paulo Afonso/BA,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
"Relatório nº 201408497 - Passos/MG - Implantação de Espaços Integrados de Esporte, Cultura, Lazer e Serviços Públicos - Praças dos Esportes e da Cultura",Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Sim,1/26/2018,Passos/MG,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
"Relatório nº 201408496 - Prefeitura Mun. de Paracatu/MG - Implantação de Espaços Integrados de Esporte, Cultura, Lazer e Serviços Públicos ? Praças dos Esportes e da Cultura",Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Sim,1/26/2018,Paracatu/MG,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
"Relatório nº 201408484 - Gabinete/Prefeitura Mun. de Maricá/RJ - Implantação de Espaços Integrados de Esporte, Cultura, Lazer e Serviços Públicos - Praças dos Esportes e da Cultura",Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Sim,1/26/2018,Maricá/RJ,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1
"Relatório nº 201408478 - Gabinete/Prefeitura Mun. de Juazeiro do Norte/CE - Implantação de Espaços Integrados de Esporte, Cultura, Lazer e Serviços Públicos - Praças dos Esportes e da Cultura",Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Sim,1/26/2018,Juazeiro do Norte/CE,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
Relatório de Avaliação dos Resultados da Gestão nº 201700727 - Empresa Brasileira de Correios e Telégrafos,Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Não,1/26/2018,Brasília/DF,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1
Relatório de Auditoria Anual de Contas nº 201701185 - Eletrobrás Distribuição Alagoas/EDAL - exercício de 2016,Auditoria Interna Governamental - Avaliação,Avaliação da Prestação Anual de Contas,Auditoria interna governamental,Não,1/26/2018,Maceió/AL,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1
"Relatório nº 201408410 - Prefeitura Mun. de Águas Lindas de Goiás/GO - Implantação de Espaços Integrados de Esporte, Cultura, Lazer e Serviços Públicos - Praças dos Esportes e da Cultura no município.",Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Sim,1/26/2018,Águas Lindas de Goiás/GO,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1
"Relatório nº 201408409 - Prefeitura Mun. de Açailândia - Implantação de Espaços Integrados de Esporte, Cultura, Lazer e Serviços Públicos - Praças dos Esportes e da Cultura no município.",Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Sim,1/26/2018,Açailândia/MA,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1
"Relatório nº 201408408 - Gabinete do Prefeito Abaetetuba - Implantação de Espaços Integrados de Esporte, Cultura, Lazer e Serviços Públicos - Praças dos Esportes e da Cultura no município de Abaetetuba/PA.",Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Sim,1/26/2018,Abaetetuba/PA,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
"Relatório nº 201408431 - Prefeitura Mun. de Cambé-PR/Gabinete do Prefeito - Implantação de Espaços Integrados de Esporte, Cultura, Lazer e Serviços Públicos - Praças dos Esportes e da Cultura.",Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Sim,1/26/2018,Cambé/PR,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1
"Relatório nº 201408424 - Prefeitura Mun. de Barbalha/Gabinete do Prefeito - Implantação de Espaços Integrados de Esporte, Cultura, Lazer e Serviços Públicos - Praças dos Esportes e da Cultura",Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Sim,1/26/2018,Barbalha/CE,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1
"Relatório nº 201408422 - Município de Araucária/PR - Implantação de Espaços Integrados de Esporte, Cultura, Lazer e Serviços Públicos - Praças dos Esportes e da Cultura.",Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Sim,1/26/2018,Araucária/PR,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1
"Relatório nº 201408420 - Departamento Administrativo/Prefeitura de Arapongas/PR - Implantação de Espaços Integrados de Esporte, Cultura, Lazer e Serviços Públicos - Praças dos Esportes e da Cultura.",Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Sim,1/26/2018,Arapongas/PR,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
"Relatório nº 201408419 - Prefeitura Mun. de Araguari/MG - Implantação de Espaços Integrados de Esporte, Cultura, Lazer e Serviços Públicos - Praças dos Esportes e da Cultura",Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Sim,1/26/2018,Araguari/MG,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
"Relatório nº 201408416 - Prefeitura Mun. de Apucarana/Gabinete do Prefeito - Implantação de Espaços Integrados de Esporte, Cultura, Lazer e Serviços Públicos - Praças dos Esportes e da Cultura.",Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Sim,1/26/2018,Apucarana/PR,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1
"Relatório nº 201408413 - Gabinete do Prefeito de Andradina/SP - Implantação de Espaços Integrados de Esporte, Cultura Lazer e Serviços Públicos ? Praças dos Esportes e da Cultura no município de Andradina/SP.",Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Sim,1/26/2018,Andradina/SP,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1
"Relatório nº 201408412 - Prefeitura Mun. de Anápolis/Gabinete do Prefeito - Implantação de Espaços Integrados de Esporte, Cultura, Lazer e Serviços Públicos - Praças dos Esportes e da Cultura.",Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Sim,1/26/2018,Anápolis/GO,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1
"Relatório nº 201408411 - Prefeitura Mun. de Alagoinhas/Gabinete do Prefeito - Implantação de Espaços Integrados de Esporte, Cultura, Lazer e Serviços Públicos - Praças dos Esportes e da Cultura no município de Alagoinhas/BA.",Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Sim,1/26/2018,Alagoinhas/BA,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1
Relatório de Avaliação de Integridade nº 201601703 - ELETROBRAS,Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Não,1/26/2018,Rio de Janeiro/RJ,0,0,0,1,0,1,1,1,0,0,0, 1 sugestoes melh,0,1,1
"Relatório nº 201601928 - PM Goiânia - Cultura: Preservação, Promoção e Acesso / Preservação de Bens e Acervos Culturais",Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Sim,1/29/2018,Goiânia/GO,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
Relatório nº 201408514 - Município de Rio Branco/AC - Centro de Artes e Esportes Unificados,Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Sim,1/29/2018,Rio Branco/AC,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1
"Relatório nº 201408509 - Gabinete/Prefeitura Mun. de Porto Seguro/BA - Implantação de Espaços Integrados de Esporte, Cultura, Lazer e Serviços Públicos - Praças dos Esportes e da Cultura",Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Sim,1/29/2018,Porto Seguro/BA,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1
"Relatório nº 201408538 - Gabinete Vice Prefeito/Prefeitura de Teresina/PI - Implantação de espaços integrados de esporte, cultura, lazer e serviços públicos - praças dos esportes e da cultura.",Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Sim,1/29/2018,Teresina/PI,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
"Relatório nº 201408536- Gabinete/Prefeitura Mun. de Tauá/CE- Implantação de Espaços Integrados de Esporte, Cultura, Lazer e Serviços Públicos - Praças dos Esportes e da Cultura",Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Sim,1/29/2018,Tauá/CE,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1
"Relatório nº 201408531 - Gabinete e Assessoria Consultiva/Prefeitura de Sete Lagoas/MG- Implantação de Espaços Integrados de Esporte, Cultura, Lazer e Serviços Públicos - Praças dos Esportes e da Cultura",Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Sim,1/29/2018,Sete Lagoas/MG,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1
"Relatório nº 201408525 - PMSFX/São Félix do Xingu/PA - Implantação de Espaços Integrados de Esporte, Cultura, Lazer e Serviços Públicos ? Praças dos Esportes e da Cultura",Auditoria Interna Governamental - Avaliação,Seleção baseada em riscos,Auditoria interna governamental,Sim,1/29/2018,São Félix do Xingu/PA,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1
